Year,Fatal/non-fatal,Sex,Nationality,Value
2011,non-fatal,Male,Icelandic,903
2012,non-fatal,Male,Icelandic,928
2013,non-fatal,Male,Icelandic,1008
2014,non-fatal,Male,Icelandic,1071
2015,non-fatal,Male,Icelandic,1140
2016,non-fatal,Male,Icelandic,1107
2017,non-fatal,Male,Icelandic,1075
2018,non-fatal,Male,Icelandic,1054
2019,non-fatal,Male,Icelandic,1002
2020,non-fatal,Male,Icelandic,856
2021,non-fatal,Male,Icelandic,861
2022,non-fatal,Male,Icelandic,856
1980,non-fatal,Female,Icelandic,0
1981,non-fatal,Female,Icelandic,0
1982,non-fatal,Female,Icelandic,0
1983,non-fatal,Female,Icelandic,0
1984,non-fatal,Female,Icelandic,71
1985,non-fatal,Female,Icelandic,72
1986,non-fatal,Female,Icelandic,70
1987,non-fatal,Female,Icelandic,92
1988,non-fatal,Female,Icelandic,71
1989,non-fatal,Female,Icelandic,107
1990,non-fatal,Female,Icelandic,153
1991,non-fatal,Female,Icelandic,132
1992,non-fatal,Female,Icelandic,137
1993,non-fatal,Female,Icelandic,159
1994,non-fatal,Female,Icelandic,178
1995,non-fatal,Female,Icelandic,207
1996,non-fatal,Female,Icelandic,259
1997,non-fatal,Female,Icelandic,275
1998,non-fatal,Female,Icelandic,308
1999,non-fatal,Female,Icelandic,336
2000,non-fatal,Female,Icelandic,391
2001,non-fatal,Female,Icelandic,371
2002,non-fatal,Female,Icelandic,419
2003,non-fatal,Female,Icelandic,389
2004,non-fatal,Female,Icelandic,422
2005,non-fatal,Female,Icelandic,375
2006,non-fatal,Female,Icelandic,364
2007,non-fatal,Female,Icelandic,400
2008,non-fatal,Female,Icelandic,417
2009,non-fatal,Female,Icelandic,375
2010,non-fatal,Female,Icelandic,421
2011,non-fatal,Female,Icelandic,480
2012,non-fatal,Female,Icelandic,528
2013,non-fatal,Female,Icelandic,544
2014,non-fatal,Female,Icelandic,617
2015,non-fatal,Female,Icelandic,654
2016,non-fatal,Female,Icelandic,638
2017,non-fatal,Female,Icelandic,626
2018,non-fatal,Female,Icelandic,598
2019,non-fatal,Female,Icelandic,675
2020,non-fatal,Female,Icelandic,550
2021,non-fatal,Female,Icelandic,546
2022,non-fatal,Female,Icelandic,509
1980,non-fatal,Both,Icelandic,0
1981,non-fatal,Both,Icelandic,0
1982,non-fatal,Both,Icelandic,0
1983,non-fatal,Both,Icelandic,0
1984,non-fatal,Both,Icelandic,335
1985,non-fatal,Both,Icelandic,344
1986,non-fatal,Both,Icelandic,368
1987,non-fatal,Both,Icelandic,390
1988,non-fatal,Both,Icelandic,402
1989,non-fatal,Both,Icelandic,425
1990,non-fatal,Both,Icelandic,737
1991,non-fatal,Both,Icelandic,642
1992,non-fatal,Both,Icelandic,657
1993,non-fatal,Both,Icelandic,660
1994,non-fatal,Both,Icelandic,657
1995,non-fatal,Both,Icelandic,870
1996,non-fatal,Both,Icelandic,1063
1997,non-fatal,Both,Icelandic,1212
1998,non-fatal,Both,Icelandic,1314
1999,non-fatal,Both,Icelandic,1314
2000,non-fatal,Both,Icelandic,1389
2001,non-fatal,Both,Icelandic,1367
2002,non-fatal,Both,Icelandic,1353
2003,non-fatal,Both,Icelandic,1371
2004,non-fatal,Both,Icelandic,1371
2005,non-fatal,Both,Icelandic,1218
2006,non-fatal,Both,Icelandic,1226
2007,non-fatal,Both,Icelandic,1291
2008,non-fatal,Both,Icelandic,1449
2009,non-fatal,Both,Icelandic,1185
2010,non-fatal,Both,Icelandic,1183
2011,non-fatal,Both,Icelandic,1383
2012,non-fatal,Both,Icelandic,1456
2013,non-fatal,Both,Icelandic,1552
2014,non-fatal,Both,Icelandic,1688
2015,non-fatal,Both,Icelandic,1794
2016,non-fatal,Both,Icelandic,1745
2017,non-fatal,Both,Icelandic,1701
2018,non-fatal,Both,Icelandic,1652
2019,non-fatal,Both,Icelandic,1677
2020,non-fatal,Both,Icelandic,1406
2021,non-fatal,Both,Icelandic,1408
2022,non-fatal,Both,Icelandic,1365
1980,Total,Both,Foreign,0
1981,Total,Both,Foreign,0
1982,Total,Both,Foreign,0
1983,Total,Both,Foreign,0
1984,Total,Both,Foreign,4
1985,Total,Both,Foreign,8
1986,Total,Both,Foreign,8
1987,Total,Both,Foreign,9
1988,Total,Both,Foreign,14
1989,Total,Both,Foreign,12
1990,Total,Both,Foreign,21
1991,Total,Both,Foreign,17
1992,Total,Both,Foreign,11
1993,Total,Both,Foreign,6
1994,Total,Both,Foreign,8
1995,Total,Both,Foreign,11
