Year,Atvinnugrein,Uppspretta,Bókhald,Value
2012,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.2
2013,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.17
2014,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.23
2015,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.21
2016,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.21
2017,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.22
2018,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.19
2019,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.21
2020,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.17
2021,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.17
2022,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.16
1995,Heimili,,Eurostat - AEA,359.41
1996,Heimili,,Eurostat - AEA,365.3
1997,Heimili,,Eurostat - AEA,365.41
1998,Heimili,,Eurostat - AEA,382.09
1999,Heimili,,Eurostat - AEA,394.32
2000,Heimili,,Eurostat - AEA,387.07
2001,Heimili,,Eurostat - AEA,386.28
2002,Heimili,,Eurostat - AEA,388.89
2003,Heimili,,Eurostat - AEA,403.95
2004,Heimili,,Eurostat - AEA,417.02
2005,Heimili,,Eurostat - AEA,467.09
2006,Heimili,,Eurostat - AEA,449.53
2007,Heimili,,Eurostat - AEA,416.59
2008,Heimili,,Eurostat - AEA,391.25
2009,Heimili,,Eurostat - AEA,417.32
2010,Heimili,,Eurostat - AEA,421.78
2011,Heimili,,Eurostat - AEA,427.12
2012,Heimili,,Eurostat - AEA,430.06
2013,Heimili,,Eurostat - AEA,433.23
2014,Heimili,,Eurostat - AEA,445.82
2015,Heimili,,Eurostat - AEA,471.34
2016,Heimili,,Eurostat - AEA,502.39
2017,Heimili,,Eurostat - AEA,522.03
2018,Heimili,,Eurostat - AEA,530.32
2019,Heimili,,Eurostat - AEA,522.61
2020,Heimili,,Eurostat - AEA,469.85
2021,Heimili,,Eurostat - AEA,497.69
2022,Heimili,,Eurostat - AEA,522.13
