Year,Kyn,Atvinnugrein,Value
2020,Karl,Rekstur gististaða og veitingarekstur (I),2890
2021,Karl,Rekstur gististaða og veitingarekstur (I),2910
2022,Karl,Rekstur gististaða og veitingarekstur (I),3040
2018,Kona,Rekstur gististaða og veitingarekstur (I),2210
2019,Kona,Rekstur gististaða og veitingarekstur (I),2340
2020,Kona,Rekstur gististaða og veitingarekstur (I),2720
2021,Kona,Rekstur gististaða og veitingarekstur (I),2710
2022,Kona,Rekstur gististaða og veitingarekstur (I),2910
2008,Karl,Upplýsingar og fjarskipti (J),2660
2009,Karl,Upplýsingar og fjarskipti (J),2560
2010,Karl,Upplýsingar og fjarskipti (J),2810
2011,Karl,Upplýsingar og fjarskipti (J),2880
2012,Karl,Upplýsingar og fjarskipti (J),3130
2013,Karl,Upplýsingar og fjarskipti (J),3120
2014,Karl,Upplýsingar og fjarskipti (J),3290
2015,Karl,Upplýsingar og fjarskipti (J),3460
2016,Karl,Upplýsingar og fjarskipti (J),3850
2017,Karl,Upplýsingar og fjarskipti (J),3960
2018,Karl,Upplýsingar og fjarskipti (J),4210
2019,Karl,Upplýsingar og fjarskipti (J),4330
2020,Karl,Upplýsingar og fjarskipti (J),4670
2021,Karl,Upplýsingar og fjarskipti (J),4910
2022,Karl,Upplýsingar og fjarskipti (J),5160
2008,Kona,Upplýsingar og fjarskipti (J),2160
2009,Kona,Upplýsingar og fjarskipti (J),2170
2010,Kona,Upplýsingar og fjarskipti (J),2310
2011,Kona,Upplýsingar og fjarskipti (J),2380
2012,Kona,Upplýsingar og fjarskipti (J),2560
2013,Kona,Upplýsingar og fjarskipti (J),2570
2014,Kona,Upplýsingar og fjarskipti (J),2690
2015,Kona,Upplýsingar og fjarskipti (J),2970
2016,Kona,Upplýsingar og fjarskipti (J),3380
2017,Kona,Upplýsingar og fjarskipti (J),3540
2018,Kona,Upplýsingar og fjarskipti (J),3770
2019,Kona,Upplýsingar og fjarskipti (J),3880
2020,Kona,Upplýsingar og fjarskipti (J),4070
2021,Kona,Upplýsingar og fjarskipti (J),4310
2022,Kona,Upplýsingar og fjarskipti (J),4680
2008,Karl,Fjármála- og vátryggingastarfsemi (K),3840
2009,Karl,Fjármála- og vátryggingastarfsemi (K),3750
2010,Karl,Fjármála- og vátryggingastarfsemi (K),3850
2011,Karl,Fjármála- og vátryggingastarfsemi (K),4140
2012,Karl,Fjármála- og vátryggingastarfsemi (K),4630
2013,Karl,Fjármála- og vátryggingastarfsemi (K),5160
2014,Karl,Fjármála- og vátryggingastarfsemi (K),5550
2015,Karl,Fjármála- og vátryggingastarfsemi (K),5770
2016,Karl,Fjármála- og vátryggingastarfsemi (K),6470
2017,Karl,Fjármála- og vátryggingastarfsemi (K),7090
2018,Karl,Fjármála- og vátryggingastarfsemi (K),7280
2019,Karl,Fjármála- og vátryggingastarfsemi (K),7300
2020,Karl,Fjármála- og vátryggingastarfsemi (K),7610
2021,Karl,Fjármála- og vátryggingastarfsemi (K),7640
2022,Karl,Fjármála- og vátryggingastarfsemi (K),7710
2008,Kona,Fjármála- og vátryggingastarfsemi (K),2200
2009,Kona,Fjármála- og vátryggingastarfsemi (K),2370
2010,Kona,Fjármála- og vátryggingastarfsemi (K),2610
2011,Kona,Fjármála- og vátryggingastarfsemi (K),2720
2012,Kona,Fjármála- og vátryggingastarfsemi (K),3010
2013,Kona,Fjármála- og vátryggingastarfsemi (K),3190
2014,Kona,Fjármála- og vátryggingastarfsemi (K),3410
2015,Kona,Fjármála- og vátryggingastarfsemi (K),3630
2016,Kona,Fjármála- og vátryggingastarfsemi (K),3950
2017,Kona,Fjármála- og vátryggingastarfsemi (K),4350
2018,Kona,Fjármála- og vátryggingastarfsemi (K),4710
2019,Kona,Fjármála- og vátryggingastarfsemi (K),4890
2020,Kona,Fjármála- og vátryggingastarfsemi (K),5180
2021,Kona,Fjármála- og vátryggingastarfsemi (K),5390
2022,Kona,Fjármála- og vátryggingastarfsemi (K),5690
2008,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2360
2009,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2390
2010,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2410
2011,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2590
2012,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2710
2013,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2840
2014,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3030
2015,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3160
2016,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3750
2017,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3910
2018,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4130
2019,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4230
2020,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4510
2021,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4970
2022,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),5230
2008,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),1970
2009,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2020
2010,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2060
2011,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2250
2012,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2370
2013,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2510
2014,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2730
2015,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2890
2016,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3350
2017,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3530
2018,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3770
2019,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3830
2020,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4150
2021,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4560
2022,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4910
2008,Karl,Fræðslustarfsemi (P),2020
2009,Karl,Fræðslustarfsemi (P),2030
2010,Karl,Fræðslustarfsemi (P),2030
2011,Karl,Fræðslustarfsemi (P),2160
2012,Karl,Fræðslustarfsemi (P),2230
2013,Karl,Fræðslustarfsemi (P),2300
2014,Karl,Fræðslustarfsemi (P),2500
2015,Karl,Fræðslustarfsemi (P),2640
2016,Karl,Fræðslustarfsemi (P),2930
2017,Karl,Fræðslustarfsemi (P),3150
2018,Karl,Fræðslustarfsemi (P),3240
2019,Karl,Fræðslustarfsemi (P),3250
2020,Karl,Fræðslustarfsemi (P),3450
2021,Karl,Fræðslustarfsemi (P),3660
2022,Karl,Fræðslustarfsemi (P),3880
2008,Kona,Fræðslustarfsemi (P),1580
2009,Kona,Fræðslustarfsemi (P),1680
2010,Kona,Fræðslustarfsemi (P),1710
2011,Kona,Fræðslustarfsemi (P),1820
2012,Kona,Fræðslustarfsemi (P),1890
2013,Kona,Fræðslustarfsemi (P),1960
2014,Kona,Fræðslustarfsemi (P),2170
2015,Kona,Fræðslustarfsemi (P),2290
2016,Kona,Fræðslustarfsemi (P),2560
2017,Kona,Fræðslustarfsemi (P),2750
2018,Kona,Fræðslustarfsemi (P),2890
2019,Kona,Fræðslustarfsemi (P),2900
2020,Kona,Fræðslustarfsemi (P),3160
2021,Kona,Fræðslustarfsemi (P),3410
2022,Kona,Fræðslustarfsemi (P),3660
2008,Karl,Heilbrigðis- og félagsþjónusta (Q),2130
2009,Karl,Heilbrigðis- og félagsþjónusta (Q),2150
2010,Karl,Heilbrigðis- og félagsþjónusta (Q),2130
2011,Karl,Heilbrigðis- og félagsþjónusta (Q),2280
2012,Karl,Heilbrigðis- og félagsþjónusta (Q),2320
2013,Karl,Heilbrigðis- og félagsþjónusta (Q),2370
2014,Karl,Heilbrigðis- og félagsþjónusta (Q),2590
